index,identifier,label,region
0,binary-0.ts,Non-Moth,NorthEasternAmerica
1,binary-1.ts,Non-Moth,NorthEasternAmerica
2,binary-2.ts,Non-Moth,NorthEasternAmerica
3,binary-3.ts,Non-Moth,NorthEasternAmerica
4,binary-4.ts,Non-Moth,NorthEasternAmerica
5,binary-5.ts,Non-Moth,NorthEasternAmerica
6,binary-6.ts,Non-Moth,NorthEasternAmerica
7,binary-7.ts,Moth,NorthEasternAmerica
8,binary-8.ts,Non-Moth,NorthEasternAmerica
9,binary-9.ts,Non-Moth,NorthEasternAmerica
10,binary-10.ts,Non-Moth,NorthEasternAmerica
11,binary-11.ts,Moth,NorthEasternAmerica
12,binary-12.ts,Moth,NorthEasternAmerica
13,binary-13.ts,Moth,NorthEasternAmerica
14,binary-14.ts,Moth,NorthEasternAmerica
15,binary-15.ts,Non-Moth,NorthEasternAmerica
16,binary-16.ts,Non-Moth,NorthEasternAmerica
17,binary-17.ts,Moth,NorthEasternAmerica
18,binary-18.ts,Moth,NorthEasternAmerica
19,binary-19.ts,Moth,NorthEasternAmerica
20,binary-20.ts,Moth,NorthEasternAmerica
21,binary-21.ts,Moth,NorthEasternAmerica
22,binary-22.ts,Non-Moth,NorthEasternAmerica
23,binary-23.ts,Non-Moth,NorthEasternAmerica
24,binary-24.ts,Non-Moth,NorthEasternAmerica
25,binary-25.ts,Non-Moth,NorthEasternAmerica
26,binary-26.ts,Non-Moth,NorthEasternAmerica
27,binary-27.ts,Non-Moth,NorthEasternAmerica
28,binary-28.ts,Non-Moth,NorthEasternAmerica
29,binary-29.ts,Non-Moth,NorthEasternAmerica
30,binary-30.ts,Moth,NorthEasternAmerica
31,binary-31.ts,Moth,NorthEasternAmerica
32,binary-32.ts,Moth,NorthEasternAmerica
33,binary-33.ts,Moth,NorthEasternAmerica
34,binary-34.ts,Moth,NorthEasternAmerica
35,binary-35.ts,Moth,NorthEasternAmerica
36,binary-36.ts,Moth,NorthEasternAmerica
37,binary-37.ts,Moth,NorthEasternAmerica
38,binary-38.ts,Moth,NorthEasternAmerica
39,binary-39.ts,Moth,NorthEasternAmerica
40,binary-40.ts,Moth,NorthEasternAmerica
41,binary-41.ts,Moth,NorthEasternAmerica
42,binary-42.ts,Moth,NorthEasternAmerica
43,binary-43.ts,Moth,NorthEasternAmerica
44,binary-44.ts,Moth,NorthEasternAmerica
45,binary-45.ts,Moth,NorthEasternAmerica
46,binary-46.ts,Moth,NorthEasternAmerica
47,binary-47.ts,Moth,NorthEasternAmerica
48,binary-48.ts,Non-Moth,NorthEasternAmerica
49,binary-49.ts,Non-Moth,NorthEasternAmerica
50,binary-50.ts,Moth,NorthEasternAmerica
51,binary-51.ts,Moth,NorthEasternAmerica
52,binary-52.ts,Moth,NorthEasternAmerica
53,binary-53.ts,Moth,NorthEasternAmerica
54,binary-54.ts,Moth,NorthEasternAmerica
55,binary-55.ts,Moth,NorthEasternAmerica
56,binary-56.ts,Moth,NorthEasternAmerica
57,binary-57.ts,Moth,NorthEasternAmerica
58,binary-58.ts,Moth,NorthEasternAmerica
59,binary-59.ts,Moth,NorthEasternAmerica
60,binary-60.ts,Moth,NorthEasternAmerica
61,binary-61.ts,Moth,NorthEasternAmerica
62,binary-62.ts,Moth,NorthEasternAmerica
63,binary-63.ts,Moth,NorthEasternAmerica
64,binary-64.ts,Moth,NorthEasternAmerica
65,binary-65.ts,Moth,NorthEasternAmerica
66,binary-66.ts,Moth,NorthEasternAmerica
67,binary-67.ts,Moth,NorthEasternAmerica
68,binary-68.ts,Moth,NorthEasternAmerica
69,binary-69.ts,Moth,NorthEasternAmerica
70,binary-70.ts,Moth,NorthEasternAmerica
71,binary-71.ts,Moth,NorthEasternAmerica
72,binary-72.ts,Moth,NorthEasternAmerica
73,binary-73.ts,Moth,NorthEasternAmerica
74,binary-74.ts,Moth,NorthEasternAmerica
75,binary-75.ts,Moth,NorthEasternAmerica
76,binary-76.ts,Moth,NorthEasternAmerica
77,binary-77.ts,Non-Moth,NorthEasternAmerica
78,binary-78.ts,Non-Moth,NorthEasternAmerica
79,binary-79.ts,Non-Moth,NorthEasternAmerica
80,binary-80.ts,Non-Moth,NorthEasternAmerica
81,binary-81.ts,Moth,NorthEasternAmerica
82,binary-82.ts,Moth,NorthEasternAmerica
83,binary-83.ts,Moth,NorthEasternAmerica
84,binary-84.ts,Moth,NorthEasternAmerica
85,binary-85.ts,Moth,NorthEasternAmerica
86,binary-86.ts,Moth,NorthEasternAmerica
87,binary-87.ts,Moth,NorthEasternAmerica
88,binary-88.ts,Moth,NorthEasternAmerica
89,binary-89.ts,Moth,NorthEasternAmerica
90,binary-90.ts,Moth,NorthEasternAmerica
91,binary-91.ts,Moth,NorthEasternAmerica
92,binary-92.ts,Moth,NorthEasternAmerica
93,binary-93.ts,Moth,NorthEasternAmerica
94,binary-94.ts,Moth,NorthEasternAmerica
95,binary-95.ts,Moth,NorthEasternAmerica
96,binary-96.ts,Moth,NorthEasternAmerica
97,binary-97.ts,Moth,NorthEasternAmerica
98,binary-98.ts,Moth,NorthEasternAmerica
99,binary-99.ts,Non-Moth,NorthEasternAmerica
100,binary-100.ts,Non-Moth,NorthEasternAmerica
101,binary-101.ts,Non-Moth,NorthEasternAmerica
102,binary-102.ts,Non-Moth,NorthEasternAmerica
103,binary-103.ts,Non-Moth,NorthEasternAmerica
104,binary-104.ts,Non-Moth,NorthEasternAmerica
105,binary-105.ts,Non-Moth,NorthEasternAmerica
106,binary-106.ts,Non-Moth,NorthEasternAmerica
107,binary-107.ts,Non-Moth,NorthEasternAmerica
