index,identifier,label,region
0,binary-0.png,Non-Moth,NorthEasternAmerica
1,binary-1.png,Non-Moth,NorthEasternAmerica
2,binary-2.png,Non-Moth,NorthEasternAmerica
3,binary-3.png,Non-Moth,NorthEasternAmerica
4,binary-4.png,Non-Moth,NorthEasternAmerica
5,binary-5.png,Non-Moth,NorthEasternAmerica
6,binary-6.png,Non-Moth,NorthEasternAmerica
7,binary-7.png,Moth,NorthEasternAmerica
8,binary-8.png,Non-Moth,NorthEasternAmerica
9,binary-9.png,Non-Moth,NorthEasternAmerica
10,binary-10.png,Non-Moth,NorthEasternAmerica
11,binary-11.png,Moth,NorthEasternAmerica
12,binary-12.png,Moth,NorthEasternAmerica
13,binary-13.png,Moth,NorthEasternAmerica
14,binary-14.png,Moth,NorthEasternAmerica
15,binary-15.png,Non-Moth,NorthEasternAmerica
16,binary-16.png,Non-Moth,NorthEasternAmerica
17,binary-17.png,Moth,NorthEasternAmerica
18,binary-18.png,Moth,NorthEasternAmerica
19,binary-19.png,Moth,NorthEasternAmerica
20,binary-20.png,Moth,NorthEasternAmerica
21,binary-21.png,Moth,NorthEasternAmerica
22,binary-22.png,Non-Moth,NorthEasternAmerica
23,binary-23.png,Non-Moth,NorthEasternAmerica
24,binary-24.png,Non-Moth,NorthEasternAmerica
25,binary-25.png,Non-Moth,NorthEasternAmerica
26,binary-26.png,Non-Moth,NorthEasternAmerica
27,binary-27.png,Non-Moth,NorthEasternAmerica
28,binary-28.png,Non-Moth,NorthEasternAmerica
29,binary-29.png,Non-Moth,NorthEasternAmerica
30,binary-30.png,Moth,NorthEasternAmerica
31,binary-31.png,Moth,NorthEasternAmerica
32,binary-32.png,Moth,NorthEasternAmerica
33,binary-33.png,Moth,NorthEasternAmerica
34,binary-34.png,Moth,NorthEasternAmerica
35,binary-35.png,Moth,NorthEasternAmerica
36,binary-36.png,Moth,NorthEasternAmerica
37,binary-37.png,Moth,NorthEasternAmerica
38,binary-38.png,Moth,NorthEasternAmerica
39,binary-39.png,Moth,NorthEasternAmerica
40,binary-40.png,Moth,NorthEasternAmerica
41,binary-41.png,Moth,NorthEasternAmerica
42,binary-42.png,Moth,NorthEasternAmerica
43,binary-43.png,Moth,NorthEasternAmerica
44,binary-44.png,Moth,NorthEasternAmerica
45,binary-45.png,Moth,NorthEasternAmerica
46,binary-46.png,Moth,NorthEasternAmerica
47,binary-47.png,Moth,NorthEasternAmerica
48,binary-48.png,Non-Moth,NorthEasternAmerica
49,binary-49.png,Non-Moth,NorthEasternAmerica
50,binary-50.png,Moth,NorthEasternAmerica
51,binary-51.png,Moth,NorthEasternAmerica
52,binary-52.png,Moth,NorthEasternAmerica
53,binary-53.png,Moth,NorthEasternAmerica
54,binary-54.png,Moth,NorthEasternAmerica
55,binary-55.png,Moth,NorthEasternAmerica
56,binary-56.png,Moth,NorthEasternAmerica
57,binary-57.png,Moth,NorthEasternAmerica
58,binary-58.png,Moth,NorthEasternAmerica
