index,identifier,taxon_rank,label,synonym,speciesKey,acceptedTaxonKey,region
0,fgrained-0.pt,FAMILY,Tortricidae,,,,NorthEasternAmerica
1,fgrained-1.pt,SPECIES,Dryocampa rubicunda,,1865862.0,1865862.0,NorthEasternAmerica
2,fgrained-2.pt,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
3,fgrained-3.pt,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
4,fgrained-4.pt,GENUS,Baileya sp.,,,,NorthEasternAmerica
5,fgrained-5.pt,SPECIES,Dryocampa rubicunda,,1865862.0,1865862.0,NorthEasternAmerica
6,fgrained-6.pt,FAMILY,Erebidae,,,,NorthEasternAmerica
7,fgrained-7.pt,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
8,fgrained-8.pt,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
9,fgrained-9.pt,GENUS,Baileya sp.,,,,NorthEasternAmerica
10,fgrained-10.pt,SPECIES,Hydrelia inornata,,5146305.0,5146305.0,NorthEasternAmerica
11,fgrained-11.pt,FAMILY,Notodontidae,,,,NorthEasternAmerica
12,fgrained-12.pt,SPECIES,Dryocampa rubicunda,,1865862.0,1865862.0,NorthEasternAmerica
13,fgrained-13.pt,GENUS,Dichomeris sp.,,,,NorthEasternAmerica
14,fgrained-14.pt,SPECIES,Cnephasia stephensiana,,1739272.0,1739272.0,NorthEasternAmerica
15,fgrained-15.pt,ORDER,Moth,,,,NorthEasternAmerica
16,fgrained-16.pt,SPECIES,Xanthotype urticaria,,1970563.0,1970563.0,NorthEasternAmerica
17,fgrained-17.pt,FAMILY,Notodontidae,,,,NorthEasternAmerica
18,fgrained-18.pt,FAMILY,Notodontidae,,,,NorthEasternAmerica
19,fgrained-19.pt,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
20,fgrained-20.pt,SPECIES,Dryocampa rubicunda,,1865862.0,1865862.0,NorthEasternAmerica
21,fgrained-21.pt,SPECIES,Baileya ophthalmica,,5114431.0,5114431.0,NorthEasternAmerica
22,fgrained-22.pt,GENUS,Macaria sp.,,,,NorthEasternAmerica
23,fgrained-23.pt,FAMILY,Tortricidae,,,,NorthEasternAmerica
24,fgrained-24.pt,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
25,fgrained-25.pt,SPECIES,Cnephasia stephensiana,,1739272.0,1739272.0,NorthEasternAmerica
26,fgrained-26.pt,SPECIES,Epirrhoe alternata,,8361848.0,8361848.0,NorthEasternAmerica
27,fgrained-27.pt,ORDER,Moth,,,,NorthEasternAmerica
28,fgrained-28.pt,GENUS,Hypagyrtis sp.,,,,NorthEasternAmerica
29,fgrained-29.pt,SPECIES,Epirrhoe alternata,,8361848.0,8361848.0,NorthEasternAmerica
30,fgrained-30.pt,SPECIES,Lophocampa caryae,,1817732.0,1817732.0,NorthEasternAmerica
31,fgrained-31.pt,FAMILY,Notodontidae,,,,NorthEasternAmerica
32,fgrained-32.pt,FAMILY,Notodontidae,,,,NorthEasternAmerica
33,fgrained-33.pt,SPECIES,Dryocampa rubicunda,,1865862.0,1865862.0,NorthEasternAmerica
34,fgrained-34.pt,SPECIES,Pandemis limitata,,1743825.0,1743825.0,NorthEasternAmerica
35,fgrained-35.pt,FAMILY,Tortricidae,,,,NorthEasternAmerica
36,fgrained-36.pt,SPECIES,Actias luna,,1865668.0,1865668.0,NorthEasternAmerica
