index,identifier,taxon_rank,label,synonym,speciesKey,acceptedTaxonKey,region
0,fgrained-0.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
1,fgrained-1.png,SPECIES,Dryocampa rubicunda,,1865862.0,1865862.0,NorthEasternAmerica
2,fgrained-2.png,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
3,fgrained-3.png,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
4,fgrained-4.png,GENUS,Baileya sp.,,,,NorthEasternAmerica
5,fgrained-5.png,SPECIES,Dryocampa rubicunda,,1865862.0,1865862.0,NorthEasternAmerica
6,fgrained-6.png,FAMILY,Erebidae,,,,NorthEasternAmerica
7,fgrained-7.png,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
8,fgrained-8.png,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
9,fgrained-9.png,GENUS,Baileya sp.,,,,NorthEasternAmerica
10,fgrained-10.png,SPECIES,Hydrelia inornata,,5146305.0,5146305.0,NorthEasternAmerica
11,fgrained-11.png,FAMILY,Notodontidae,,,,NorthEasternAmerica
12,fgrained-12.png,SPECIES,Dryocampa rubicunda,,1865862.0,1865862.0,NorthEasternAmerica
13,fgrained-13.png,GENUS,Dichomeris sp.,,,,NorthEasternAmerica
14,fgrained-14.png,SPECIES,Cnephasia stephensiana,,1739272.0,1739272.0,NorthEasternAmerica
15,fgrained-15.png,ORDER,Moth,,,,NorthEasternAmerica
16,fgrained-16.png,SPECIES,Xanthotype urticaria,,1970563.0,1970563.0,NorthEasternAmerica
17,fgrained-17.png,FAMILY,Notodontidae,,,,NorthEasternAmerica
18,fgrained-18.png,FAMILY,Notodontidae,,,,NorthEasternAmerica
19,fgrained-19.png,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
20,fgrained-20.png,SPECIES,Dryocampa rubicunda,,1865862.0,1865862.0,NorthEasternAmerica
21,fgrained-21.png,SPECIES,Baileya ophthalmica,,5114431.0,5114431.0,NorthEasternAmerica
22,fgrained-22.png,GENUS,Macaria sp.,,,,NorthEasternAmerica
23,fgrained-23.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
24,fgrained-24.png,SPECIES,Palpita magniferalis,,1889838.0,1889838.0,NorthEasternAmerica
25,fgrained-25.png,SPECIES,Cnephasia stephensiana,,1739272.0,1739272.0,NorthEasternAmerica
26,fgrained-26.png,SPECIES,Epirrhoe alternata,,8361848.0,8361848.0,NorthEasternAmerica
27,fgrained-27.png,ORDER,Moth,,,,NorthEasternAmerica
28,fgrained-28.png,GENUS,Hypagyrtis sp.,,,,NorthEasternAmerica
29,fgrained-29.png,SPECIES,Epirrhoe alternata,,8361848.0,8361848.0,NorthEasternAmerica
30,fgrained-30.png,SPECIES,Lophocampa caryae,,1817732.0,1817732.0,NorthEasternAmerica
31,fgrained-31.png,FAMILY,Notodontidae,,,,NorthEasternAmerica
32,fgrained-32.png,FAMILY,Notodontidae,,,,NorthEasternAmerica
33,fgrained-33.png,SPECIES,Dryocampa rubicunda,,1865862.0,1865862.0,NorthEasternAmerica
34,fgrained-34.png,SPECIES,Pandemis limitata,,1743825.0,1743825.0,NorthEasternAmerica
35,fgrained-35.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
36,fgrained-36.png,SPECIES,Actias luna,,1865668.0,1865668.0,NorthEasternAmerica
37,fgrained-37.png,GENUS,Macaria sp.,,,,NorthEasternAmerica
38,fgrained-38.png,GENUS,Palpita sp.,,,,NorthEasternAmerica
39,fgrained-39.png,ORDER,Moth,,,,NorthEasternAmerica
40,fgrained-40.png,ORDER,Moth,,,,NorthEasternAmerica
41,fgrained-41.png,SPECIES,Lophocampa caryae,,1817732.0,1817732.0,NorthEasternAmerica
42,fgrained-42.png,GENUS,Macaria sp.,,,,NorthEasternAmerica
43,fgrained-43.png,SPECIES,Dryocampa rubicunda,,1865862.0,1865862.0,NorthEasternAmerica
44,fgrained-44.png,GENUS,Macaria sp.,,,,NorthEasternAmerica
45,fgrained-45.png,SPECIES,Campaea perlata,,1978751.0,1978751.0,NorthEasternAmerica
46,fgrained-46.png,SPECIES,Actias luna,,1865668.0,1865668.0,NorthEasternAmerica
47,fgrained-47.png,GENUS,Macaria sp.,,,,NorthEasternAmerica
48,fgrained-48.png,SPECIES,Clepsis persicana,,7350238.0,7350238.0,NorthEasternAmerica
49,fgrained-49.png,SPECIES,Clemensia albata,,5114903.0,5114903.0,NorthEasternAmerica
50,fgrained-50.png,GENUS,Macaria sp.,,,,NorthEasternAmerica
51,fgrained-51.png,ORDER,Moth,,,,NorthEasternAmerica
52,fgrained-52.png,ORDER,Moth,,,,NorthEasternAmerica
53,fgrained-53.png,ORDER,Moth,,,,NorthEasternAmerica
54,fgrained-54.png,ORDER,Moth,,,,NorthEasternAmerica
55,fgrained-55.png,FAMILY,Crambidae,,,,NorthEasternAmerica
56,fgrained-56.png,ORDER,Lepidoptera,,,,NorthEasternAmerica
57,fgrained-57.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
58,fgrained-58.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
59,fgrained-59.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
60,fgrained-60.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
61,fgrained-61.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
62,fgrained-62.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
63,fgrained-63.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
64,fgrained-64.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
65,fgrained-65.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
66,fgrained-66.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
67,fgrained-67.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
68,fgrained-68.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
69,fgrained-69.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
70,fgrained-70.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
71,fgrained-71.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
72,fgrained-72.png,FAMILY,Blastobasidae,,,,NorthEasternAmerica
73,fgrained-73.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
74,fgrained-74.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
75,fgrained-75.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
76,fgrained-76.png,FAMILY,Gelechiidae,,,,NorthEasternAmerica
77,fgrained-77.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
78,fgrained-78.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
79,fgrained-79.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
80,fgrained-80.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
81,fgrained-81.png,GENUS,Sparganothis sp.,,,,NorthEasternAmerica
82,fgrained-82.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
83,fgrained-83.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
84,fgrained-84.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
85,fgrained-85.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
86,fgrained-86.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
87,fgrained-87.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
88,fgrained-88.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
89,fgrained-89.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
90,fgrained-90.png,FAMILY,Tortricidae,,,,NorthEasternAmerica
