,speciesKey,species,label
0,1741812,Platynota exasperatana,0
1,5126229,Eudonia strigalis,1
2,5114431,Baileya ophthalmica,2
3,1748149,Proteoteras aesculana,3
4,1736836,Amorbia humerosana,4
5,5104157,Syndemis afflictana,5
6,1866085,Automeris io,6
7,10545267,Eucopina tocullionana,7
8,5108417,Balsa tristrigella,8
9,1743825,Pandemis limitata,9
10,1742335,Olethreutes fasciatana,10
11,9885192,Eucosma parmatana,11
12,1825428,Lochmaeus manteo,12
13,5126963,Scoparia biplagialis,13
14,5148544,Iridopsis larvaria,14
15,5144424,Lobophora nivigerata,15
16,1889838,Palpita magniferalis,16
17,1887285,Chrysoteuchia topiarius,17
18,1767142,Chytonix palliatricula,18
19,5102671,Choristoneura rosaceana,19
20,9368398,Macaria pustularia,20
21,9498206,Idia americalis,21
22,1739617,Sparganothis sulfureana,22
23,1978751,Campaea perlata,23
24,1886378,Microcrambus elegans,24
25,1964041,Probole amicaria,25
26,1747189,Argyrotaenia velutinana,26
27,5143107,Drepana arcuata,27
28,1968942,Pleuroprucha insulsaria,28
29,9896144,Cenopis reticulatana,29
30,10511237,Epicallima argenticinctella,30
31,1741824,Platynota idaeusalis,31
32,5149631,Metanema inatomaria,32
33,1865862,Dryocampa rubicunda,33
34,1865668,Actias luna,34
35,7350238,Clepsis persicana,35
36,1739272,Cnephasia stephensiana,36
37,1737374,Clepsis melaleucanus,37
38,1820406,Lymantria dispar,38
39,1979473,Hydriomena furcata,39
40,5108957,Raphia frater,40
41,5145521,Scopula limboundata,41
42,1983896,Eupithecia absinthiata,42
43,1831136,Plutella xylostella,43
44,9407200,Idia aemula,44
45,1879970,Crambus perlellus,45
46,5103066,Spilonota ocellana,46
47,1789191,Caenurgina crassiuscula,47
48,8421569,Ectropis crepuscularia,48
49,5714973,Xestia c-nigrum,49
50,1819145,Calliteara pudibunda,50
51,1821911,Euproctis similis,51
52,5771350,Eucosma campoliliana,52
53,5147478,Idaea rusticata,53
54,1795215,Cryphia algae,54
55,1884403,Catoptria falsella,55
56,5117400,Pelosia muscerda,56
57,4524421,Ennomos fuscantaria,57
58,1973467,Petrophora chlorosata,58
59,1737775,Cydia splendana,59
60,5884851,Elophila nymphaeata,60
61,1976163,Electrophaes corylata,61
62,1887290,Chrysoteuchia culmella,62
63,1992066,Gymnoscelis rufifasciata,63
64,5102951,Agapeta hamana,64
65,1884465,Parapoynx stratiotata,65
66,1883161,Chilo phragmitella,66
67,1785286,Deltote bankiana,67
68,1820372,Lymantria monacha,68
69,1769897,Rivula sericealis,69
70,1952806,Watsonalla binaria,70
71,1769566,Cosmia trapezina,71
72,1957845,Ennomos alniaria,72
73,4524638,Hypomecis punctinalis,73
74,1952532,Ochropacha duplaris,74
75,4525078,Chiasmia clathrata,75
76,1986171,Xanthorhoe ferrugata,76
77,1878939,Agriphila selasella,77
78,1879252,Pleuroptya ruralis,78
79,1804906,Cybosia mesomella,79
80,5114198,Colocasia coryli,80
81,1978776,Campaea margaritaria,81
82,4532890,Deltote pygarga,82
83,1789745,Noctua fimbriata,83
84,5149438,Lomaspilis marginata,84
85,1960617,Opisthograptis luteolata,85
86,5124007,Laothoe populi,86
87,1828162,Ptilodon capucina,87
88,1802280,Pseudoips prasinana,88
89,1798807,Hypena proboscidalis,89
90,1792418,Autographa gamma,90
