,TPR_scores,FPR_scores
0.0,0.9987522528767503,0.9962987886944819
0.01,0.995979481491751,0.9813257065948856
0.02,0.992236240122002,0.9693808882907133
0.03,0.9884929987522528,0.9564266487213997
0.04,0.9853043116595037,0.9443135935397039
0.05,0.9814224317205047,0.93197622252131
0.06,0.9768473589352558,0.9189659039928219
0.07,0.9729654789962567,0.9076379542395693
0.08,0.9692222376265077,0.8962539255271422
0.09,0.9643698877027589,0.8835800807537012
0.1,0.9596561763482601,0.8715791834903545
0.11,0.9542492721475114,0.859185733512786
0.12,0.9492582836545127,0.8486989681471512
0.13,0.944267295161514,0.8373710183938986
0.14,0.939969499514765,0.8263795423956931
0.15,0.9342853181755164,0.8141543292956482
0.16,0.9291556911132677,0.8032750112157918
0.17,0.9227783169277693,0.7921152983400628
0.18,0.9154304727575211,0.7807312696276357
0.19,0.9089144600027728,0.7711417676087932
0.2,0.9028143629557743,0.75930910722297
0.21,0.8971301816165257,0.7478129205921938
0.22,0.8907528074310274,0.7359802602063705
0.23,0.8854845417995286,0.7259982054733064
0.24,0.8786912519062803,0.715343203230148
0.25,0.871897962013032,0.7042395693135935
0.26,0.863856924996534,0.6921825930910722
0.27,0.8585886593650354,0.6799013010318529
0.28,0.8526272008872868,0.6684611933602512
0.29,0.8455566338555386,0.656852848811126
0.3,0.8394565368085402,0.6466464782413638
0.31,0.8325246083460419,0.6370569762225213
0.32,0.8233744627755442,0.6243831314490803
0.33,0.8171357271592957,0.6141206819201436
0.34,0.8113129072507972,0.6037460744728578
0.35,0.804242340219049,0.5928106774338269
0.36,0.7968944960488008,0.5827725437415882
0.37,0.7888534590323028,0.571276357110812
0.38,0.7795646748925551,0.5597240915208613
0.39,0.7713849993068072,0.5495737999102737
0.4,0.7643144322750589,0.5399282189322566
0.41,0.7573825038125607,0.5306751906684611
0.42,0.7493414667960626,0.5200762673844773
0.43,0.7371412727020658,0.5094773441004935
0.44,0.7293775128240677,0.4987101839389861
0.45,0.72022736725357,0.48811126065500227
0.46,0.7114931373908221,0.4789143113503813
0.47,0.7027589075280744,0.46753028263795426
0.48,0.6918064605573271,0.4575482279048901
0.49,0.6816858450020796,0.44706146253925527
0.5,0.6699015666158326,0.4360139075818753
0.51,0.6590877582143352,0.42737774786899957
0.52,0.6493830583668376,0.4164984297891431
0.53,0.64023291279634,0.40612382234185734
0.54,0.6309441286565922,0.3950762673844773
0.55,0.619714404547345,0.3848698968147151
0.56,0.6090392347150977,0.37516823687752354
0.57,0.5978095106058505,0.3652983400628084
0.58,0.5861638707888535,0.35554060116644237
0.59,0.5742409538333565,0.34539030955585465
0.6,0.5620407597393595,0.3350717810677434
0.61,0.5509496741993622,0.3230708838043966
0.62,0.5395813115208651,0.3127523553162853
0.63,0.528074310273118,0.3033871691341409
0.64,0.5167059475946209,0.29413414087034545
0.65,0.503951199223624,0.28476895468820096
0.66,0.4907805351448773,0.27646926873037236
0.67,0.4789962567586302,0.2686742934051144
0.68,0.464023291279634,0.2598698968147151
0.69,0.4508526272008873,0.25117765814266485
0.7,0.43906834881464024,0.24276581426648722
0.71,0.42464993761264386,0.23340062808434275
0.72,0.412033827810897,0.22470838941229251
0.73,0.3983086094551504,0.21478241363840286
0.74,0.38416747539165397,0.20620233288470166
0.75,0.37058089560515733,0.19756617317182593
0.76,0.35824206294191047,0.18741588156123823
0.77,0.3431304588936642,0.1781628532974428
0.78,0.3296825176764176,0.16919021982951996
0.79,0.3123526965201719,0.16066621803499326
0.8,0.2964092610564259,0.1515814266487214
0.81,0.2835158741161791,0.14249663526244952
0.82,0.27145431859143215,0.13464558097801704
0.83,0.2537085817274366,0.12662628981606103
0.84,0.23831970054069043,0.11765365634813818
0.85,0.22528767503119368,0.10806415432929564
0.86,0.20615555247469847,0.09830641543292956
0.87,0.19062803271870235,0.08967025572005384
0.88,0.17676417579370582,0.08215567519066846
0.89,0.16220712602245946,0.07396814715118888
0.9,0.14182725634271454,0.06404217137729924
0.91,0.12435879661721891,0.056695827725437416
0.92,0.10758352973797311,0.04867653656348138
0.93,0.09191737141272702,0.041666666666666664
0.94,0.07389435741023152,0.0338716913414087
0.95,0.05711909053098572,0.025908479138627188
0.96,0.04339387217523915,0.019347240915208615
0.97,0.028004990988493,0.01306639748766263
0.98,0.014557049771246361,0.007178106774338268
0.99,0.004575072785248856,0.0022431583669807087
1.0,0.0,0.0
