,TPR_scores,FPR_scores
0.0,1.0,1.0
0.01,1.0,1.0
0.02,1.0,1.0
0.03,1.0,1.0
0.04,1.0,1.0
0.05,1.0,1.0
0.06,1.0,1.0
0.07,1.0,1.0
0.08,1.0,1.0
0.09,1.0,1.0
0.1,1.0,1.0
0.11,1.0,1.0
0.12,1.0,1.0
0.13,1.0,1.0
0.14,1.0,1.0
0.15,1.0,0.999532273152479
0.16,1.0,0.9990645463049579
0.17,0.998567335243553,0.9990645463049579
0.18,0.998567335243553,0.9981290926099158
0.19,0.998567335243553,0.9981290926099158
0.2,0.998567335243553,0.9981290926099158
0.21,0.998567335243553,0.9976613657623947
0.22,0.998567335243553,0.9976613657623947
0.23,0.998567335243553,0.9971936389148737
0.24,0.998567335243553,0.9967259120673526
0.25,0.998567335243553,0.9957904583723106
0.26,0.998567335243553,0.9948550046772685
0.27,0.998567335243553,0.9943872778297475
0.28,0.998567335243553,0.9939195509822264
0.29,0.998567335243553,0.9939195509822264
0.3,0.997134670487106,0.9925163704396632
0.31,0.997134670487106,0.9925163704396632
0.32,0.995702005730659,0.9925163704396632
0.33,0.995702005730659,0.9915809167446211
0.34,0.995702005730659,0.9911131898971001
0.35,0.995702005730659,0.990645463049579
0.36,0.995702005730659,0.9887745556594949
0.37,0.995702005730659,0.9873713751169317
0.38,0.995702005730659,0.9859681945743686
0.39,0.995702005730659,0.9855004677268475
0.4,0.995702005730659,0.9845650140318054
0.41,0.995702005730659,0.9836295603367633
0.42,0.995702005730659,0.9812909260991581
0.43,0.9928366762177651,0.979887745556595
0.44,0.9928366762177651,0.9789522918615529
0.45,0.9928366762177651,0.9770813844714686
0.46,0.9928366762177651,0.9756782039289055
0.47,0.9928366762177651,0.9738072965388214
0.48,0.9928366762177651,0.9728718428437793
0.49,0.9914040114613181,0.9728718428437793
0.5,0.9914040114613181,0.9714686623012161
0.51,0.9885386819484241,0.9677268475210478
0.52,0.9885386819484241,0.9658559401309635
0.53,0.9871060171919771,0.9635173058933583
0.54,0.9871060171919771,0.961178671655753
0.55,0.9871060171919771,0.9565014031805426
0.56,0.9871060171919771,0.9527595884003742
0.57,0.9871060171919771,0.9480823199251637
0.58,0.9856733524355301,0.9448082319925164
0.59,0.9856733524355301,0.9424695977549111
0.6,0.9828080229226361,0.9391955098222639
0.61,0.9799426934097422,0.9340505144995322
0.62,0.9785100286532952,0.9331150608044901
0.63,0.9770773638968482,0.9289055191768008
0.64,0.9756446991404012,0.9256314312441534
0.65,0.9742120343839542,0.9228250701590271
0.66,0.9742120343839542,0.9186155285313377
0.67,0.9742120343839542,0.9115996258185219
0.68,0.9742120343839542,0.9087932647333957
0.69,0.9699140401146131,0.9027128157156221
0.7,0.9684813753581661,0.8975678203928905
0.71,0.9670487106017192,0.8900841908325537
0.72,0.9641833810888252,0.8854069223573433
0.73,0.9627507163323782,0.8797942001870908
0.74,0.9555873925501432,0.872310570626754
0.75,0.9512893982808023,0.8652946679139383
0.76,0.9469914040114613,0.8601496725912068
0.77,0.9455587392550143,0.8531337698783911
0.78,0.9426934097421203,0.8456501403180543
0.79,0.9369627507163324,0.8391019644527596
0.8,0.9312320916905444,0.8316183348924229
0.81,0.9183381088825215,0.8222637979420019
0.82,0.9097421203438395,0.813844714686623
0.83,0.9025787965616046,0.804022450888681
0.84,0.8939828080229226,0.7909260991580916
0.85,0.8810888252148997,0.775023386342376
0.86,0.8653295128939829,0.7628624883068288
0.87,0.8409742120343839,0.7441534144059869
0.88,0.828080229226361,0.7282507015902713
0.89,0.8080229226361032,0.7081384471468662
0.9,0.7750716332378224,0.6875584658559402
0.91,0.7378223495702005,0.6679139382600561
0.92,0.6905444126074498,0.6323666978484564
0.93,0.6375358166189111,0.5963517305893359
0.94,0.5816618911174785,0.5565949485500468
0.95,0.5229226361031518,0.5018709073900842
0.96,0.4355300859598854,0.4476145930776427
0.97,0.3452722063037249,0.37418147801683815
0.98,0.24641833810888253,0.29045837231057064
0.99,0.12893982808022922,0.16043030869971936
1.0,0.0,0.0
