,TPR_scores,FPR_scores
0.0,1.0,1.0
0.01,1.0,1.0
0.02,1.0,1.0
0.03,1.0,1.0
0.04,1.0,1.0
0.05,1.0,1.0
0.06,1.0,1.0
0.07,1.0,1.0
0.08,1.0,0.999532273152479
0.09,1.0,0.999532273152479
0.1,1.0,0.999532273152479
0.11,1.0,0.999532273152479
0.12,1.0,0.9990645463049579
0.13,1.0,0.9990645463049579
0.14,1.0,0.9990645463049579
0.15,1.0,0.9990645463049579
0.16,1.0,0.9990645463049579
0.17,1.0,0.9985968194574368
0.18,1.0,0.9976613657623947
0.19,1.0,0.9976613657623947
0.2,1.0,0.9971936389148737
0.21,1.0,0.9957904583723106
0.22,1.0,0.9953227315247896
0.23,1.0,0.9953227315247896
0.24,1.0,0.9948550046772685
0.25,1.0,0.9948550046772685
0.26,0.998567335243553,0.9943872778297475
0.27,0.998567335243553,0.9939195509822264
0.28,0.998567335243553,0.9939195509822264
0.29,0.998567335243553,0.9929840972871843
0.3,0.998567335243553,0.9920486435921422
0.31,0.998567335243553,0.9911131898971001
0.32,0.997134670487106,0.990645463049579
0.33,0.997134670487106,0.990645463049579
0.34,0.997134670487106,0.990177736202058
0.35,0.997134670487106,0.9897100093545369
0.36,0.997134670487106,0.9887745556594949
0.37,0.995702005730659,0.9873713751169317
0.38,0.995702005730659,0.9855004677268475
0.39,0.995702005730659,0.9840972871842844
0.4,0.995702005730659,0.9826941066417212
0.41,0.995702005730659,0.9822263797942001
0.42,0.995702005730659,0.9817586529466792
0.43,0.994269340974212,0.980355472404116
0.44,0.994269340974212,0.9784845650140318
0.45,0.9914040114613181,0.9770813844714686
0.46,0.9914040114613181,0.9761459307764265
0.47,0.9914040114613181,0.9733395696913003
0.48,0.9914040114613181,0.9728718428437793
0.49,0.9914040114613181,0.9719363891487371
0.5,0.9899713467048711,0.9686623012160898
0.51,0.9899713467048711,0.9663236669784846
0.52,0.9899713467048711,0.9649204864359214
0.53,0.9899713467048711,0.9639850327408793
0.54,0.9885386819484241,0.961646398503274
0.55,0.9885386819484241,0.9565014031805426
0.56,0.9885386819484241,0.9546304957904583
0.57,0.9885386819484241,0.9532273152478953
0.58,0.9871060171919771,0.9494855004677268
0.59,0.9842406876790831,0.9471468662301216
0.6,0.9842406876790831,0.9457436856875585
0.61,0.9842406876790831,0.9429373246024322
0.62,0.9828080229226361,0.9391955098222639
0.63,0.9756446991404012,0.931244153414406
0.64,0.9756446991404012,0.9265668849391955
0.65,0.9727793696275072,0.9232927970065482
0.66,0.9699140401146131,0.9204864359214219
0.67,0.9684813753581661,0.9153414405986904
0.68,0.9641833810888252,0.9087932647333957
0.69,0.9641833810888252,0.9022450888681011
0.7,0.9627507163323782,0.8994387277829747
0.71,0.9613180515759312,0.8947614593077643
0.72,0.9613180515759312,0.892422825070159
0.73,0.9584527220630372,0.8868101028999065
0.74,0.9570200573065902,0.8835360149672591
0.75,0.9555873925501432,0.881665107577175
0.76,0.9541547277936963,0.8769878391019644
0.77,0.9484240687679083,0.8709073900841908
0.78,0.9484240687679083,0.8638914873713751
0.79,0.9455587392550143,0.8596819457436857
0.8,0.9441260744985673,0.8540692235734331
0.81,0.9340974212034384,0.8475210477081384
0.82,0.9283667621776505,0.8423760523854069
0.83,0.9255014326647565,0.8391019644527596
0.84,0.9197707736389685,0.8302151543498597
0.85,0.9083094555873925,0.8189897100093545
0.86,0.9068767908309455,0.8096351730589336
0.87,0.8868194842406877,0.7965388213283442
0.88,0.8767908309455588,0.7815715622076708
0.89,0.8538681948424068,0.7722170252572498
0.9,0.832378223495702,0.764265668849392
0.91,0.8223495702005731,0.7418147801683816
0.92,0.8080229226361032,0.724508886810103
0.93,0.7779369627507163,0.7086061739943873
0.94,0.7550143266475645,0.695977549111319
0.95,0.7148997134670487,0.6753975678203928
0.96,0.6747851002865329,0.6454630495790459
0.97,0.6575931232091691,0.618334892422825
0.98,0.6131805157593123,0.5757717492984097
0.99,0.5157593123209169,0.5074836295603368
1.0,0.0,0.0
