,TPR_scores,FPR_scores
0.0,1.0,1.0
0.01,1.0,1.0
0.02,1.0,1.0
0.03,1.0,1.0
0.04,1.0,1.0
0.05,1.0,1.0
0.06,1.0,1.0
0.07,1.0,1.0
0.08,1.0,1.0
0.09,1.0,1.0
0.1,1.0,1.0
0.11,1.0,1.0
0.12,1.0,1.0
0.13,1.0,1.0
0.14,1.0,1.0
0.15,1.0,1.0
0.16,1.0,1.0
0.17,1.0,1.0
0.18,1.0,1.0
0.19,1.0,1.0
0.2,1.0,1.0
0.21,1.0,1.0
0.22,1.0,1.0
0.23,1.0,1.0
0.24,1.0,1.0
0.25,1.0,1.0
0.26,1.0,1.0
0.27,1.0,1.0
0.28,1.0,0.999532273152479
0.29,1.0,0.9990645463049579
0.3,1.0,0.9990645463049579
0.31,1.0,0.9985968194574368
0.32,1.0,0.9971936389148737
0.33,0.998567335243553,0.9971936389148737
0.34,0.998567335243553,0.9962581852198317
0.35,0.998567335243553,0.9953227315247896
0.36,0.998567335243553,0.9943872778297475
0.37,0.998567335243553,0.9939195509822264
0.38,0.998567335243553,0.9934518241347053
0.39,0.997134670487106,0.9929840972871843
0.4,0.997134670487106,0.9915809167446211
0.41,0.997134670487106,0.9915809167446211
0.42,0.995702005730659,0.989242282507016
0.43,0.994269340974212,0.9873713751169317
0.44,0.9928366762177651,0.9855004677268475
0.45,0.9928366762177651,0.9840972871842844
0.46,0.9928366762177651,0.9836295603367633
0.47,0.9928366762177651,0.9812909260991581
0.48,0.9928366762177651,0.9794200187090739
0.49,0.9928366762177651,0.9789522918615529
0.5,0.9928366762177651,0.9775491113189897
0.51,0.9928366762177651,0.9733395696913003
0.52,0.9928366762177651,0.9714686623012161
0.53,0.9928366762177651,0.9695977549111319
0.54,0.9914040114613181,0.9681945743685687
0.55,0.9899713467048711,0.9677268475210478
0.56,0.9856733524355301,0.9653882132834425
0.57,0.9842406876790831,0.961178671655753
0.58,0.9813753581661891,0.9588400374181478
0.59,0.9785100286532952,0.9546304957904583
0.6,0.9785100286532952,0.9490177736202058
0.61,0.9785100286532952,0.9443405051449953
0.62,0.9770773638968482,0.9387277829747428
0.63,0.9742120343839542,0.9340505144995322
0.64,0.9727793696275072,0.930776426566885
0.65,0.9727793696275072,0.9265668849391955
0.66,0.9656160458452722,0.9242282507015903
0.67,0.9641833810888252,0.9209541627689429
0.68,0.9598853868194842,0.9167446211412535
0.69,0.9555873925501432,0.9111318989710009
0.7,0.9512893982808023,0.9064546304957904
0.71,0.9484240687679083,0.8989710009354537
0.72,0.9469914040114613,0.8952291861552854
0.73,0.9441260744985673,0.8882132834424696
0.74,0.9426934097421203,0.8811973807296539
0.75,0.9355300859598854,0.872778297474275
0.76,0.9326647564469914,0.8657623947614593
0.77,0.9255014326647565,0.8531337698783911
0.78,0.9183381088825215,0.8447146866230122
0.79,0.9054441260744985,0.8330215154349859
0.8,0.9025787965616046,0.8222637979420019
0.81,0.9011461318051576,0.8124415341440598
0.82,0.8954154727793696,0.8063610851262862
0.83,0.8796561604584527,0.7960710944808232
0.84,0.8739255014326648,0.7871842843779233
0.85,0.8595988538681948,0.7764265668849392
0.86,0.8510028653295129,0.7652011225444341
0.87,0.833810888252149,0.7488306828811974
0.88,0.8252148997134671,0.7319925163704397
0.89,0.8022922636103151,0.7100093545369505
0.9,0.7779369627507163,0.6922357343311506
0.91,0.7521489971346705,0.6693171188026192
0.92,0.7177650429799427,0.6538821328344246
0.93,0.6776504297994269,0.6295603367633302
0.94,0.6346704871060171,0.5954162768942938
0.95,0.6117478510028653,0.5715622076707203
0.96,0.5673352435530086,0.5332086061739943
0.97,0.4885386819484241,0.4653882132834425
0.98,0.38825214899713467,0.39943872778297473
0.99,0.23065902578796563,0.2932647333956969
1.0,0.0,0.0
